id,name,category,default_duration_min,energy_cost,has_steps,has_gating_rules,has_failure_modes,has_stop_criteria,has_outputs_or_artifacts,has_facilitation_prompt,outputs_summary,file_path
M-ENC-001,KWIK Hook,encode,3,medium,Y,MISSING,Y,Y,Y,MISSING,KWIK hook (sound-function-image triplet); Anki card draft (optional); Session log entry,sop\library\methods\M-ENC-001.yaml
M-ENC-002,Seed-Lock Generation,encode,3,medium,Y,MISSING,Y,Y,Y,MISSING,Learner-generated Seed (primary hook attempt); Final locked hook; Generation success flag (self vs AI-assisted),sop\library\methods\M-ENC-002.yaml
M-ENC-003,Draw-Label,encode,10,high,Y,MISSING,Y,Y,Y,MISSING,Completed labeled diagram; Gap list (what was missing); Accuracy percentage,sop\library\methods\M-ENC-003.yaml
M-ENC-004,Teach-Back,encode,5,high,Y,MISSING,Y,Y,Y,MISSING,Verbal explanation (recorded or noted); Breakdown points list; Targeted review areas,sop\library\methods\M-ENC-004.yaml
M-ENC-005,Why-Chain,encode,5,medium,Y,MISSING,Y,Y,Y,MISSING,Why-chain document (3-5 linked explanations); Depth level reached; Verification status,sop\library\methods\M-ENC-005.yaml
M-ENC-006,Think-Aloud Protocol,encode,5,medium,Y,MISSING,Y,Y,Y,MISSING,Think-aloud recording or notes; Confusion points list; Connection map (implicit),sop\library\methods\M-ENC-006.yaml
M-ENC-007,Self-Explanation Protocol,encode,7,medium,Y,MISSING,Y,Y,Y,MISSING,Self-explanation notes (per paragraph); Inference gap list; Comprehension checkpoints,sop\library\methods\M-ENC-007.yaml
M-ENC-008,Mechanism Trace,encode,10,high,Y,MISSING,Y,Y,Y,MISSING,Complete mechanism chain (trigger to outcome); Because statements for each step; Branch points identified; Verificati...,sop\library\methods\M-ENC-008.yaml
M-ENC-009,Concept Map,encode,10,high,Y,MISSING,Y,Y,Y,MISSING,Concept map (nodes + labeled links); Cross-link count; Missing concept list; Mermaid code (if using dashboard),sop\library\methods\M-ENC-009.yaml
M-ENC-010,Comparison Table,encode,7,medium,Y,MISSING,Y,Y,Y,MISSING,Completed comparison table; Discriminating features highlighted; Differential rules (1-2 per comparison); Error list ...,sop\library\methods\M-ENC-010.yaml
M-ENC-011,Process Flowchart,encode,10,high,Y,MISSING,Y,Y,Y,MISSING,Completed flowchart; Mermaid code (if using dashboard); Decision point list; Loop/feedback points identified,sop\library\methods\M-ENC-011.yaml
M-ENC-012,Clinical Decision Tree,encode,10,high,Y,MISSING,Y,Y,Y,MISSING,Clinical decision tree; Red flag list; Confirmatory test per diagnosis; Mermaid code (if using dashboard),sop\library\methods\M-ENC-012.yaml
M-ENC-013,Memory Palace,encode,10,high,Y,MISSING,Y,Y,Y,MISSING,Mental palace with placed items; Retrieval accuracy check; Weak links identified,sop\library\methods\M-ENC-013.yaml
M-ENC-014,Chain Linking,encode,8,medium,Y,MISSING,Y,Y,Y,MISSING,Bizarre story narrative; Retrieval success rate; Weak links (breaks in chain),sop\library\methods\M-ENC-014.yaml
M-INT-001,Analogy Bridge,interrogate,3,medium,Y,MISSING,Y,Y,Y,MISSING,Analogy statement (A is to B as X is to Y); Mapping table (3+ correspondences); Breakdown points (where analogy fails),sop\library\methods\M-INT-001.yaml
M-INT-002,Clinical Application,interrogate,5,high,Y,MISSING,Y,Y,Y,MISSING,"Clinical application narrative; Presentation, testing, intervention summary; Verification notes",sop\library\methods\M-INT-002.yaml
M-INT-003,Cross-Topic Link,interrogate,3,medium,Y,MISSING,Y,Y,Y,MISSING,Cross-topic connection list (2-3); Explanatory sentences; Shared principles identified,sop\library\methods\M-INT-003.yaml
M-INT-004,Side-by-Side Comparison,interrogate,7,medium,Y,MISSING,Y,Y,Y,MISSING,Side-by-side comparison table; Discriminating features highlighted; Error list from initial attempt,sop\library\methods\M-INT-004.yaml
M-INT-005,Case Walkthrough,interrogate,10,high,Y,MISSING,Y,Y,Y,MISSING,Case walkthrough narrative; Differential diagnosis list; Assessment plan; Intervention plan; Reasoning verification,sop\library\methods\M-INT-005.yaml
M-INT-006,Illness Script Builder,interrogate,10,high,Y,MISSING,Y,Y,Y,MISSING,Complete illness script (3 parts); Causal chain diagram; Comparison to textbook; Discriminating features,sop\library\methods\M-INT-006.yaml
M-OVR-001,Exit Ticket,overlearn,3,low,Y,MISSING,Y,Y,Y,MISSING,Exit ticket (3-part response); Key takeaways list; Muddy points / weak anchors; Next action commitment; Questions for...,sop\library\methods\M-OVR-001.yaml
M-OVR-002,Anki Card Draft,overlearn,5,low,Y,MISSING,Y,Y,Y,MISSING,3-5 drafted Anki cards; Cards tagged by topic and source; Cards staged in Brain for Anki sync; Card count logged to s...,sop\library\methods\M-OVR-002.yaml
M-PRE-001,Brain Dump,prepare,3,low,Y,MISSING,Y,Y,Y,MISSING,Brain dump notes (raw text); Prior knowledge baseline; Identified knowledge gaps,sop\library\methods\M-PRE-001.yaml
M-PRE-002,Prediction Questions,prepare,3,low,Y,MISSING,Y,Y,Y,MISSING,List of prediction questions (3-5); Curiosity ranking; Forward hooks for active reading,sop\library\methods\M-PRE-002.yaml
M-PRE-003,Prior Knowledge Scan,prepare,3,low,Y,MISSING,Y,Y,Y,MISSING,Connection map (topic + related concepts); Primary anchoring schema identified; Prerequisite gap list,sop\library\methods\M-PRE-003.yaml
M-PRE-004,AI Skeleton Review,prepare,5,low,Y,MISSING,Y,Y,Y,MISSING,Topic skeleton (hierarchical outline); Priority sections identified (top 3); Unfamiliar term list,sop\library\methods\M-PRE-004.yaml
M-PRE-005,Concept Cluster,prepare,5,medium,Y,MISSING,Y,Y,Y,MISSING,Cluster diagram (3-5 labeled groups); Inter-cluster relationships mapped; Visual organization of topic,sop\library\methods\M-PRE-005.yaml
M-PRE-006,Three-Layer Chunk,prepare,5,medium,Y,MISSING,Y,Y,Y,MISSING,Three-layer breakdown document; Study priority assignment; Layered mental model,sop\library\methods\M-PRE-006.yaml
M-PRE-007,Pre-Test,prepare,5,low,Y,MISSING,Y,Y,Y,MISSING,Pre-test answers (with confidence ratings); Encoding priming for correct answers; Calibration baseline,sop\library\methods\M-PRE-007.yaml
M-REF-001,Error Autopsy,refine,5,medium,Y,MISSING,Y,Y,Y,MISSING,Completed error autopsy table; Root cause analysis for each error; Discrimination cues created; Anki card candidates ...,sop\library\methods\M-REF-001.yaml
M-REF-002,Mastery Loop,refine,10,medium,Y,MISSING,Y,Y,Y,MISSING,Mastery achieved on all targeted items; Loop count per item (difficulty metric); Weak anchor list (items needing 3+ l...,sop\library\methods\M-REF-002.yaml
M-RET-001,Free Recall Blurt,retrieve,5,medium,Y,MISSING,Y,Y,Y,MISSING,Free recall dump (raw text with gaps marked); Accuracy assessment (what was correct vs. incorrect); Gap list (what wa...,sop\library\methods\M-RET-001.yaml
M-RET-002,Sprint Quiz,retrieve,5,medium,Y,MISSING,Y,Y,Y,MISSING,RSR percentage (correct/total); List of missed questions; Weak anchor flags (uncertain but correct); Topics needing r...,sop\library\methods\M-RET-002.yaml
M-RET-003,Fill-in-Blank,retrieve,5,low,Y,MISSING,Y,Y,Y,MISSING,Completed cloze exercise; Accuracy count (correct/total blanks); Miss list for targeted review; Second-pass improveme...,sop\library\methods\M-RET-003.yaml
M-RET-004,Mixed Practice,retrieve,10,high,Y,MISSING,Y,Y,Y,MISSING,Overall accuracy across all topics; Per-topic accuracy breakdown; Confusion matrix (which topics got mixed up); Discr...,sop\library\methods\M-RET-004.yaml
M-RET-005,Variable Retrieval,retrieve,10,medium,Y,MISSING,Y,Y,Y,MISSING,"Three retrieval outputs (free recall, application, compare/contrast); Accuracy assessment for each format; Difficulty...",sop\library\methods\M-RET-005.yaml
