id,id_family_code,id_family_label,id_sequence,id_plain_english,id_runtime_note,name,control_stage,category,status,default_duration_min,energy_cost,best_stage,artifact_type,outputs_summary,when_to_use,when_not_to_use,required_outputs,tags,primary_citations,source_file
M-CAL-001,CAL,Calibrate,001,Method / Calibrate / item 001,,Micro Precheck,CALIBRATE,calibrate,validated,4,medium,first_exposure,notes,,Immediately after PRIME exits and before TEACH. | When readiness is unknown or likely drifted.,Never before PRIME for first exposure. | Skip only when emergency time constraints force direct review mode.,"CalibrateItemResults (per-item correctness, latency, confidence) | ReadinessSnapshot (accuracy summary) | CalibrationGapSummary (predicted vs actual gap) | DominantErrorSeed (highest-frequency error class) | MicroCalibrateSnapshot (opening readiness signal for TEACH routing)",calibrate | diagnostic | baseline | confidence,Kornell et al. (2009) | Roediger and Karpicke (2006),sop/library/methods/M-CAL-001.yaml
M-CAL-002,CAL,Calibrate,002,Method / Calibrate / item 002,,Full Calibrate Probes,CALIBRATE,calibrate,validated,6,medium,first_exposure,notes,,After TEACH close artifact is produced. | Before ENCODE method selection and retrieval scheduling.,Never as a replacement for opening MICRO-CALIBRATE. | Skip only when a validated full-calibrate result already exists for the same objective scope.,"FullCalibrateItemResults (per-item correctness, latency, confidence) | ConfidenceTaggedResults (per-item confidence + correctness) | HighConfidenceMisses (overconfidence items) | LowConfidenceHits (underconfidence items) | CalibrationRiskFlags (routing signals for downstream methods) | FullCalibrateSnapshot (post-TEACH diagnostic summary)",calibrate | confidence | metacognition | risk-detection | full-calibrate,Metcalfe (2017) | Dunlosky et al. (2013),sop/library/methods/M-CAL-002.yaml
M-CAL-003,CAL,Calibrate,003,Method / Calibrate / item 003,,Full Calibrate Priority Set,CALIBRATE,calibrate,validated,3,low,first_exposure,notes,,After M-CAL-002 completes. | Before selecting ENCODE methods.,If fewer than 3 valid items exist; run micro-recalibration first.,FullCalibratePrioritySet (exactly 3 ranked weaknesses) | WeaknessScoreTable (scoring breakdown per weakness) | EncodeRoutingSeed (one ENCODE method-family recommendation per weakness) | FullCalibrateHandoff (diagnostic-to-encode handoff contract),calibrate | prioritization | sequencing | deterministic-routing | full-calibrate,Rawson and Dunlosky (2011) | Bjork and Bjork (2011),sop/library/methods/M-CAL-003.yaml
M-CAL-004,CAL,Calibrate,004,Method / Calibrate / item 004,,Story Confidence Tag,CALIBRATE,calibrate,core,2,low,first_exposure,notes,,After a narrative PRIME or TEACH story chunk | When learner prefers top-down big-picture processing | As an optional supplement before FULL CALIBRATE probes,As the only calibrate method in a first-exposure chain | After FULL CALIBRATE has already been completed for the same scope | When material has no narrative structure,Story confidence rating (1-3 scale) | Fuzzy zones list (narrative breakdown points) | Priority encoding targets (focus areas for ENCODE phase) | Optional probe seed suggestions for M-CAL-002,calibrate | confidence | narrative | top-down | metacognition,Metcalfe (2017) | Dunlosky et al. (2013),sop/library/methods/M-CAL-004.yaml
M-ENC-001,ENC,Encode,001,Method / Encode / item 001,,KWIK Hook,ENCODE,encode,validated,3,medium,first_exposure,notes,,,,KWIK hook (sound-function-image triplet) | Session log entry,mnemonic | kwik | hook | gated | sop-core | dual-coding,,sop/library/methods/M-ENC-001.yaml
M-ENC-002,ENC,Encode,002,Method / Encode / item 002,,Seed-Lock Generation,ENCODE,encode,validated,3,medium,first_exposure,notes,,,,Learner-generated Seed (primary hook attempt) | Final locked hook | Generation success flag (self vs AI-assisted),seed-lock | generation-first | active | sop-core,,sop/library/methods/M-ENC-002.yaml
M-ENC-003,ENC,Encode,003,Method / Encode / item 003,,Draw-Label,ENCODE,encode,validated,10,high,first_exposure,notes,,,,Completed labeled diagram | Gap list (what was missing) | Accuracy percentage,visual | anatomy | drawing | active | retrieval,,sop/library/methods/M-ENC-003.yaml
M-ENC-004,ENC,Encode,004,Method / Encode / item 004,,Teach-Back,ENCODE,encode,validated,5,high,review,notes,,,,Verbal explanation (recorded or noted) | Breakdown points list | Targeted review areas,verbal | feynman | deep-processing | sop-core,,sop/library/methods/M-ENC-004.yaml
M-ENC-005,ENC,Encode,005,Method / Encode / item 005,,Why-Chain,ENCODE,encode,validated,5,medium,first_exposure,notes,,,,Why-chain document (3-5 linked explanations) | Depth level reached | Verification status,elaboration | causal | depth | evidence-based,,sop/library/methods/M-ENC-005.yaml
M-ENC-007,ENC,Encode,007,Method / Encode / item 007,,Self-Explanation Protocol,ENCODE,encode,validated,7,medium,first_exposure,notes,,,,Self-explanation notes or think-aloud log (per paragraph) | Inference gap list | Confusion points flagged | Comprehension checkpoints,self-explanation | comprehension | causal-reasoning | metacognition | verbal | evidence-based,,sop/library/methods/M-ENC-007.yaml
M-ENC-008,ENC,Encode,008,Method / Encode / item 008,"Historical ID prefix suggests ENCODE, but runtime control_stage is TEACH.",Mechanism Trace,TEACH,encode,validated,10,high,first_exposure,notes,,,,Complete mechanism chain (trigger to outcome) | Because statements for each step | Branch points identified | Verification status,causal-reasoning | mechanism | pathophysiology | transfer | clinical,,sop/library/methods/M-ENC-008.yaml
M-ENC-009,ENC,Encode,009,Method / Encode / item 009,,Concept Map,ENCODE,encode,draft,10,high,,concept-map,Concept map (nodes + labeled links); Mermaid code,,,Learner-generated explanation or structured encoding artifact | Concept map with nodes and labeled links,,,sop/library/methods/M-ENC-009.yaml
M-ENC-010,ENC,Encode,010,Method / Encode / item 010,,Comparison Table,ENCODE,encode,validated,7,medium,review,table,,,,Completed comparison table | Discriminating features highlighted | Differential rules (1-2 per comparison) | Error list from initial attempt,visual | comparison | discrimination | table | clinical,,sop/library/methods/M-ENC-010.yaml
M-ENC-011,ENC,Encode,011,Method / Encode / item 011,,Process Flowchart,ENCODE,encode,validated,10,high,first_exposure,flowchart,,,,Completed flowchart | Decision point list | Loop/feedback points identified,visual | mermaid | sequential | procedural,,sop/library/methods/M-ENC-011.yaml
M-ENC-012,ENC,Encode,012,Method / Encode / item 012,,Clinical Decision Tree,ENCODE,encode,validated,10,high,exam_prep,decision-tree,,,,Clinical decision tree | Red flag list | Confirmatory test per diagnosis,visual | mermaid | clinical-reasoning | decision-tree | differential,,sop/library/methods/M-ENC-012.yaml
M-ENC-013,ENC,Encode,013,Method / Encode / item 013,,Memory Palace,ENCODE,encode,validated,10,high,first_exposure,notes,,,,Mental palace with placed items | Retrieval accuracy check | Weak links identified,memory | spatial | sequence | visualization | kwik-inspired,,sop/library/methods/M-ENC-013.yaml
M-ENC-014,ENC,Encode,014,Method / Encode / item 014,,Chain Linking,ENCODE,encode,validated,8,medium,first_exposure,notes,,,,Bizarre story narrative | Retrieval success rate | Weak links (breaks in chain),memory | narrative | sequence | absurdity | kwik-inspired,,sop/library/methods/M-ENC-014.yaml
M-ENC-015,ENC,Encode,015,Method / Encode / item 015,,Hand-Draw Map,ENCODE,encode,core,5,medium,first_exposure,notes,,"After receiving a structural overview (H1 map or advance organizer) | When spatial positioning aids recall (anatomy, pathways, hierarchies) | First exposure to new material with clear structure",Material is purely procedural or sequential (use flowchart instead) | Time is severely constrained (<15 min total session) | Learner has already hand-drawn this topic recently,"Hand-drawn spatial mind map (physical artifact, confirmed by learner) | Spatial recall confidence (can learner see layout with eyes closed?) | Time spent confirmation (within 5-minute cap)",spatial | hand-draw | mind-map | visual | encoding | own-words,Wammes et al. (2016) | Fan (2023) | Van der Weel & Van der Meer (2024),sop/library/methods/M-ENC-015.yaml
M-INT-001,INT,Integration / Interrogation,001,Method / Integration / Interrogation / item 001,INT is an integration/interrogation family; use control_stage for runtime truth.,Analogy Bridge,TEACH,interrogate,validated,3,medium,review,notes,,,,Analogy statement (A is to B as X is to Y) | Mapping table (3+ correspondences) | Breakdown points (where analogy fails and what that teaches),analogy | transfer | creative | sop-core,,sop/library/methods/M-INT-001.yaml
M-INT-002,INT,Integration / Interrogation,002,Method / Integration / Interrogation / item 002,INT is an integration/interrogation family; use control_stage for runtime truth.,Clinical Application,ENCODE,interrogate,validated,5,high,exam_prep,notes,,,,"Clinical application narrative with specific patient characteristics | Presentation, testing, and intervention summary (all three addressed) | Verification notes (errors flagged against source material)",clinical | application | pt-specific | sop-core,,sop/library/methods/M-INT-002.yaml
M-INT-003,INT,Integration / Interrogation,003,Method / Integration / Interrogation / item 003,INT is an integration/interrogation family; use control_stage for runtime truth.,Cross-Topic Link,ENCODE,interrogate,validated,3,medium,consolidation,notes,,,,"Cross-topic connection list (2-3 connections) | Explanatory sentences (each with a ""because"" clause) | Shared principles identified for each connection",integration | cross-course | big-picture | transfer,,sop/library/methods/M-INT-003.yaml
M-INT-004,INT,Integration / Interrogation,004,Method / Integration / Interrogation / item 004,INT is an integration/interrogation family; use control_stage for runtime truth.,Side-by-Side Comparison,ENCODE,interrogate,validated,7,medium,review,notes,,,,Side-by-side comparison table (5-7 rows minimum) | Discriminating features highlighted (the key differentiators) | Error list from initial memory-first attempt,comparison | discrimination | differential | table,,sop/library/methods/M-INT-004.yaml
M-INT-005,INT,Integration / Interrogation,005,Method / Integration / Interrogation / item 005,INT is an integration/interrogation family; use control_stage for runtime truth.,Case Walkthrough,ENCODE,interrogate,draft,10,high,,notes,Case walkthrough narrative; Assessment plan; Reasoning verification,,,LearnerCaseResponse (attempt-first reasoning) | ErrorTags (typed classification of errors) | ConfidenceTag (learner self-assessment) | CorrectiveFeedback (post-attempt only) | NextTargetedProbe (follow-up question targeting identified gaps),,,sop/library/methods/M-INT-005.yaml
M-INT-006,INT,Integration / Interrogation,006,Method / Integration / Interrogation / item 006,INT is an integration/interrogation family; use control_stage for runtime truth.,Illness Script Builder,ENCODE,interrogate,validated,10,high,first_exposure,notes,,,,"Complete illness script (enabling conditions, pathophysiological fault, clinical consequences) | Causal chain diagram (enabling -> fault -> consequences) | Comparison to textbook version (gaps identified) | Discriminating features vs. similar conditions",illness-script | clinical-reasoning | pathology | sop-core,,sop/library/methods/M-INT-006.yaml
M-OVR-001,OVR,Overlearn,001,Method / Overlearn / item 001,,Exit Ticket,OVERLEARN,overlearn,validated,3,low,consolidation,notes,,,,Exit ticket (all 3 questions answered) | Key takeaways list (3-5 specific items) | Muddy points or weak anchors identified | Next action commitment (specific and actionable) | Questions for next session,reflection | meta | wrap | sop-core,,sop/library/methods/M-OVR-001.yaml
M-OVR-002,OVR,Overlearn,002,Method / Overlearn / item 002,,Anki Card Draft,OVERLEARN,overlearn,validated,5,low,consolidation,cards,,,,3-5 drafted Anki cards in canonical CARD block format | Each card tagged by topic and source | Cards staged in Brain for Anki sync | Card count logged to session record,anki | spaced-repetition | artifacts,,sop/library/methods/M-OVR-002.yaml
M-OVR-003,OVR,Overlearn,003,Method / Overlearn / item 003,,Drill Sheet Builder,OVERLEARN,overlearn,validated,10,medium,consolidation,notes,,,,"DrillSheet (30-60 interleaved items, objective-tagged) | CrossSessionValidation checklist (two-session pass criteria)",overlearning | drills | consolidation,,sop/library/methods/M-OVR-003.yaml
M-OVR-004,OVR,Overlearn,004,Method / Overlearn / item 004,,Post-Learn Brain Dump,OVERLEARN,overlearn,core,7,medium,consolidation,notes,,End of any learning session as closure activity | After encoding + retrieval blocks to consolidate | When learner wants metacognitive summary of what stuck vs. what didn't,Very short sessions (<15 min) where Exit Ticket suffices | Pure drill/speed sessions where Exit Ticket is better fit,Brain dump text (raw recall output) | Gap list (what was missing or wrong) | Gap-fill annotations (one-line corrections) | Session retention estimate (percentage of material recalled),recall | brain-dump | metacognition | gap-detection | closure | session-wrap,Roediger & Karpicke (2006) | Karpicke & Blunt (2011) | RetrievalPractice.org (2017),sop/library/methods/M-OVR-004.yaml
M-PRE-001,PRE,Prime,001,Method / Prime / item 001,"Historical ID prefix suggests PRIME, but runtime control_stage is CALIBRATE.",Brain Dump,CALIBRATE,calibrate,validated,3,low,first_exposure,notes,Connection refresh list; known-knowns snapshot; flagged gaps,Learner is returning to a topic with existing notes. | Tutor needs a fast re-orientation pass before ENCODE/REFERENCE.,Brand-new topic with no prior notes (route to M-PRE-010 then M-PRE-008). | High-anxiety learner who reads this as a test.,StrongConnections list | MissingNodes list | FollowUpTargets list,,Ausubel (1968) | Bjork & Bjork (2011),sop/library/methods/M-PRE-001.yaml
M-PRE-002,PRE,Prime,002,Method / Prime / item 002,,Overarching Pre-Question Set,PRIME,prime,validated,3,low,first_exposure,notes,,New topic where conceptual framing is unclear. | Learner benefits from curiosity hooks before details.,Learner shows high anxiety with open-ended prompts. | Session time is too short to process questions meaningfully.,PreQuestionSet (3-5 broad conceptual prompts that jointly cover the full selected scope) | PriorityPrompts (top 1-2 prompts for downstream use) | FollowUpTargets list,priming | prequestions | metacognition | sop-core,Jamison et al. (2023/2024) | Roediger & Karpicke (2006),sop/library/methods/M-PRE-002.yaml
M-PRE-003,PRE,Prime,003,Method / Prime / item 003,"Historical ID prefix suggests PRIME, but runtime control_stage is CALIBRATE.",Prior Knowledge Scan,CALIBRATE,calibrate,validated,3,low,first_exposure,notes,,,,Connection map (topic + related concepts with labeled links) | Primary anchoring schema identified | Prerequisite gap list,schema-activation | connections | transfer,Ausubel (1968) | Luiten et al. (1980),sop/library/methods/M-PRE-003.yaml
M-PRE-004,PRE,Prime,004,Method / Prime / item 004,,Hierarchical Advance Organizer,PRIME,prime,validated,5,low,first_exposure,notes,PillarTree; PriorKnowledgeLinks; Hypotheses,"New, dense, or mechanism-heavy topics. | Learners who prefer big-picture-first orientation.",Learner already demonstrates expert-level schema familiarity. | Ultra-familiar topics where organizer adds redundancy.,"PillarTree (3-5 pillars, max depth 2, collectively covering the full selected scope) | PriorKnowledgeLinks (one bridge per pillar) | StructuralHypotheses",advance-organizer | hierarchy | top-down,Ausubel (1960) | Luiten et al. (1980) | Hattie (2009),sop/library/methods/M-PRE-004.yaml
M-PRE-005,PRE,Prime,005,Method / Prime / item 005,,Skeleton Concept Hierarchy,PRIME,prime,validated,5,medium,first_exposure,concept-map,,Big-picture orientation for integrative topics. | Learners who think visually and need category scaffolding.,Pure procedural skill acquisition where step flow is primary. | Sessions with <3 minutes available.,SkeletonMap (central topic + 4-6 categories + descriptors that collectively cover the full selected scope) | CategoryLabels list | CrossLinks list,organization | visual | grouping | chunking,Novak & Cañas (2008) | Paivio (1991),sop/library/methods/M-PRE-005.yaml
M-PRE-006,PRE,Prime,006,Method / Prime / item 006,,Structural Skimming + Pillar Mapping,PRIME,prime,validated,5,medium,first_exposure,notes,,"Slide decks, textbooks, lecture packets. | Learners who need fast structure before details.",Highly spatial content where diagram-first review is required. | Sessions with fewer than 3 minutes total.,PillarMap (3-5 pillars with structural descriptors that collectively cover the full selected scope) | ObjectiveLinks (pillar-to-objective mapping) | FollowUpTargets list,skimming | structure | pillars | cognitive-load,Ausubel (1960) | Hattie (2009),sop/library/methods/M-PRE-006.yaml
M-PRE-007,PRE,Prime,007,Method / Prime / item 007,"Historical ID prefix suggests PRIME, but runtime control_stage is CALIBRATE.",Pre-Test,CALIBRATE,calibrate,validated,5,low,first_exposure,notes,,,,Pre-test answers with confidence ratings for each item | Calibration baseline (accuracy vs confidence alignment) | Encoding priming record (questions kept visible for study phase),pre-testing | priming | desirable-difficulty | sop-core,,sop/library/methods/M-PRE-007.yaml
M-PRE-008,PRE,Prime,008,Method / Prime / item 008,,Structural Extraction,PRIME,prime,validated,5,medium,first_exposure,notes,,Dense or complex modules where the learner needs a high-signal schema first. | Medical/STEM/exam-prep content with many interacting concepts.,Very short sessions where M-PRE-010 alone is sufficient. | Ultra-simple fact lists better handled with direct objective framing.,"StructuralSpine (node count within node_cap, high-signal nodes only) | Objective linkage map (every node linked to at least one objective) | UnknownNodeList (orientation gaps, not scores) | PriorityNodes list",prime | structure | orientation | schema-priming,Ausubel (1968) | Sung (2025),sop/library/methods/M-PRE-008.yaml
M-PRE-009,PRE,Prime,009,Method / Prime / item 009,,Syntopical Big-Picture Synthesis,PRIME,prime,validated,6,low,first_exposure,notes,,Multi-source study packets (slides + summary + glossary). | Clinical reasoning or research-heavy topics that need integration.,Single-source content where cross-source synthesis adds no value. | Time budgets below 3 minutes.,UnifiedTopDownTree (integrated hierarchy from all sources) | CrossSourceLinks list | ConflictFlags list | FollowUpTargets list,prime | syntopical | synthesis | hierarchy,Ausubel (1968) | Sung (2025),sop/library/methods/M-PRE-009.yaml
M-PRE-010,PRE,Prime,010,Method / Prime / item 010,,Learning Objectives Primer,PRIME,prime,validated,3,low,,notes,ModuleObjectiveMap or FocusObjectiveCard; selected focus objective; learner acknowledgment,Session start for any new module/topic. | Re-entry after long gap where objective state must be re-anchored.,Never skip for first exposure; this is the mandatory PRIME gate.,ModuleObjectiveMap or FocusObjectiveCard (based on scope) | SelectedFocusObjectiveId | LearnerAcknowledgment,,Ausubel (1968) | Hattie (2009),sop/library/methods/M-PRE-010.yaml
M-PRE-012,PRE,Prime,012,Method / Prime / item 012,,Terminology Pretraining,PRIME,prime,validated,4,low,,notes,TerminologySet; abbreviation map; concise component definitions,"Dense terminology, abbreviations, or nomenclature would otherwise make TEACH hard to follow. | First exposure to anatomy, neuro, or systems content with many named parts.",Terminology load is already light and obvious from the source. | The learner already has a stable working vocabulary for this topic.,TerminologySet | AbbreviationMap | ComponentDefinitionList,,Mayer (2009),sop/library/methods/M-PRE-012.yaml
M-PRE-013,PRE,Prime,013,Method / Prime / item 013,,Big-Picture Orientation Summary,PRIME,prime,validated,4,low,,notes,OrientationSummary; major sections; north-star sentence,"The learner needs a quick big-picture frame before details. | The material has a clear storyline, sequence, or purpose that can be summarized at a high level.",The learner is already using a stronger structural method and does not need an additional overview. | The requested move is really explanation-first TEACH rather than PRIME orientation.,NorthStarSentence | OrientationSummary | MajorSectionList,,Ausubel (1968) | Mayer (2009),sop/library/methods/M-PRE-013.yaml
M-PRE-014,PRE,Prime,014,Method / Prime / item 014,,Ambiguity and Blind-Spot Scan,PRIME,prime,validated,4,medium,,notes,AmbiguityLog; unsupported jumps; follow-up targets,"The source is dense, compressed, or likely to skip reasoning steps. | The learner wants PRIME to surface where TEACH will need to slow down.",The source is already very explicit and low ambiguity. | The requested move is learner diagnosis rather than source-gap scanning.,AmbiguityLog | UnsupportedJumpList | FollowUpTargets,,Overoye et al. (2021) | Pan and Rivers (2023) | Hausman and Rhodes (2018),sop/library/methods/M-PRE-014.yaml
M-REF-001,REF,Reference,001,Method / Reference / item 001,,Error Autopsy,REFERENCE,reference,validated,5,medium,exam_prep,notes,,,,Completed error autopsy table (all 4 columns for every error) | Root cause analysis for each error (Column 3 filled with specific conceptual confusion) | Discrimination cues created (Column 4 with actionable prevention strategy) | Anki card candidates identified from high-value errors,error-analysis | metacognition | correction | evidence-based,,sop/library/methods/M-REF-001.yaml
M-REF-002,REF,Reference,002,Method / Reference / item 002,,Mastery Loop,REFERENCE,reference,validated,10,medium,consolidation,notes,,,,Mastery achieved on all targeted items (or partial progress with time noted) | Loop count per item (difficulty metric) | Weak anchor list (items needing 3+ loops) | Updated spacing recommendations based on loop performance,successive-relearning | mastery | retest | evidence-based,,sop/library/methods/M-REF-002.yaml
M-REF-003,REF,Reference,003,Method / Reference / item 003,,One-Page Anchor,REFERENCE,reference,validated,8,medium,exam_prep,outline,,,,"One-Page Anchor (definitions, decision rules, examples, near-misses, traps — all present) | Trap list and near-miss set (3 canonical + 3 near-miss examples minimum)",reference | anchor | synthesis,,sop/library/methods/M-REF-003.yaml
M-REF-004,REF,Reference,004,Method / Reference / item 004,,Question Bank Seed,REFERENCE,reference,validated,8,medium,exam_prep,outline,,,,"Question Bank Seed (10-20 items, each mode-tagged and objective-tagged) | Coverage check draft (confirming all objectives have at least one question)",reference | question-bank | retrieval-design,,sop/library/methods/M-REF-004.yaml
M-RET-001,RET,Retrieve,001,Method / Retrieve / item 001,,Timed Brain Dump,RETRIEVE,retrieve,validated,5,medium,review,notes,,,,Free recall dump with gaps marked | Accuracy assessment (correct vs incorrect items) | Gap list (missing items identified) | RSR percentage estimate,recall | testing-effect | self-assessment,,sop/library/methods/M-RET-001.yaml
M-RET-002,RET,Retrieve,002,Method / Retrieve / item 002,,Sprint Quiz,RETRIEVE,retrieve,validated,5,medium,review,notes,,,,RSR percentage (correct/total) | List of missed questions with correct answers | Weak anchor flags (uncertain but correct items) | Topics needing re-encoding,quiz | speed | rsr | ai-assisted,,sop/library/methods/M-RET-002.yaml
M-RET-003,RET,Retrieve,003,Method / Retrieve / item 003,,Fill-in-Blank,RETRIEVE,retrieve,validated,5,low,review,notes,,,,Completed cloze exercise | Accuracy count (correct/total blanks) | Miss list for targeted review | Second-pass improvement rate,cloze | vocabulary | targeted,,sop/library/methods/M-RET-003.yaml
M-RET-004,RET,Retrieve,004,Method / Retrieve / item 004,,Mixed Practice,RETRIEVE,retrieve,validated,10,high,exam_prep,notes,,,,Overall accuracy across all topics | Per-topic accuracy breakdown | Confusion matrix (which topics got mixed up) | Discrimination insights (cues that distinguish topics),interleaving | discrimination | mixed | evidence-based,,sop/library/methods/M-RET-004.yaml
M-RET-005,RET,Retrieve,005,Method / Retrieve / item 005,,Variable Retrieval,RETRIEVE,retrieve,validated,10,medium,review,notes,,,,"Three retrieval outputs (free recall, application, compare/contrast) | Accuracy assessment for each format | Difficulty ranking of formats | Flexibility gap identification",varied-practice | transfer | flexible-retrieval,,sop/library/methods/M-RET-005.yaml
M-RET-006,RET,Retrieve,006,Method / Retrieve / item 006,,Adversarial Drill,RETRIEVE,retrieve,validated,8,high,exam_prep,notes,,,,Adversarial near-miss results with discrimination accuracy | ErrorLog updates (error_type and fix_applied per miss),retrieval | adversarial | confusables,,sop/library/methods/M-RET-006.yaml
M-RET-007,RET,Retrieve,007,Method / Retrieve / item 007,,Timed Sprint Sets,RETRIEVE,retrieve,validated,8,high,review,notes,,,,Timed sprint result set with per-item accuracy | Latency log (time_to_answer per item) | ErrorLog updates (misses and speed failures tagged),retrieval | timing | latency,,sop/library/methods/M-RET-007.yaml
M-TEA-001,TEA,Teach,001,Method / Teach / item 001,,Story Spine,TEACH,encode,draft,6,medium,first_exposure,notes,,,,Story spine | Ordered step list | Clinical breakpoint | Source-backed mechanism restatement,teach | story | sequence | pathway | narrative,,sop/library/methods/M-TEA-001.yaml
M-TEA-002,TEA,Teach,002,Method / Teach / item 002,,Confusable Contrast Teach,TEACH,encode,draft,6,medium,first_exposure,table,,,,Shared bucket statement | Key difference statement | Signature clues | Classic trap | Mini application contrast,teach | compare | contrast | confusable | differential,,sop/library/methods/M-TEA-002.yaml
M-TEA-003,TEA,Teach,003,Method / Teach / item 003,,Clinical Anchor Mini-Case,TEACH,encode,draft,5,medium,first_exposure,notes,,,,Mini-case scene | Concept-to-case link | Clinical significance statement | Overgeneralization boundary,teach | clinical | anchor | relevance | case,,sop/library/methods/M-TEA-003.yaml
M-TEA-004,TEA,Teach,004,Method / Teach / item 004,,Modality Switch,TEACH,encode,draft,3,low,first_exposure,notes,,,,Concept type | Chosen modality | Re-expressed teaching chunk | Modality rationale,teach | modality | representation | scaffold | visual,,sop/library/methods/M-TEA-004.yaml
M-TEA-005,TEA,Teach,005,Method / Teach / item 005,,Jingle / Rhyme Hook,TEACH,encode,draft,3,low,first_exposure,notes,,,,Sequence statement | Jingle or rhyme hook | Hook-to-sequence map | Distortion warning,teach | mnemonic | sequence | hook | rhyme,,sop/library/methods/M-TEA-005.yaml
M-TEA-006,TEA,Teach,006,Method / Teach / item 006,,Depth Ladder (4-10-HS-PT),TEACH,encode,draft,4,low,first_exposure,notes,,,,Depth route plan | L0 hook | L3 mechanism | Fallback scaffold use or skip statement | Function confirmation | L4 precision restatement,teach | depth | ladder | scaffold | sop-core,,sop/library/methods/M-TEA-006.yaml
M-TEA-007,TEA,Teach,007,Method / Teach / item 007,,KWIK Lite,TEACH,encode,draft,2,low,first_exposure,notes,,,,KWIK Lite seed | Learner ownership action | Final hook | Distortion guard,teach | mnemonic | kwik | lite | hook,,sop/library/methods/M-TEA-007.yaml
